"player_info","rank","bye","owner_2018","fantasy_pts_proj"
"David Morgan / Min / TE","491","12","FA","0"
"Jake Rudock / Mia / QB","492","5","FA","0"
"Danny Vitale / GB / RB","493","11","FA","0"
"Derek Watt / LAC / RB","494","12","FA","0"
"Brandon Allen / LAR / QB","496","9","FA","0"
"Jeff Driskel / Cin / QB","498","9","FA","0"
"Darius Jackson / Dal / RB","500","8","FA","0"
"Rico Gathers / Cle / TE","501","7","FA","0"
"Thomas Duarte / Car / TE","503","7","FA","0"
"Patrick Scales / Chi / TE","504","6","FA","0"
"Daniel Lasco II / NO / RB","505","9","FA","0"
"Jake McGee / Pit / TE","507","7","FA","0"
"Kenneth Farrow / Mia / RB","508","5","FA","0"
"Kyle Carter / Buf / TE","510","6","FA","0"
"Alan Cross / TB / TE","512","7","FA","0"
"Russell Hansbrough / Was / RB","513","10","FA","0"
"Josh Ferguson / Hou / RB","514","10","FA","0"
"Henry Krieger-Coble / LAR / TE","516","9","FA","0"
"Joshua Perkins / Phi / TE","518","10","FA","0"
"Brandon Wilds / SF / RB","519","4","FA","0"
"Byron Marshall / Was / RB","522","10","FA","0"
"Rob Kelley / NO / RB","524","9","FA","0"
"Joe Kerridge / Cle / RB","525","7","FA","0"
"Tra Carson / GB / RB","526","11","FA","0"
"Joe Callahan / Bal / QB","528","8","FA","0"
"Mark Sanchez / Was / QB","529","10","FA","0"
"Robert Griffin III / Bal / QB","538","8","FA","0"
"Trevone Boykin / Sea / QB","539","11","FA","0"
